,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,67.0,8.0,15.0,9.87,8.42,9.46,5.71,11.38,6.96,11.54,9.5,5.88,8.46,13.17,1.0
1,74.0,10.0,16.0,9.38,8.33,3.88,2.08,6.79,2.29,5.41,5.83,3.58,2.54,10.5,1.0
2,78.0,9.0,14.0,11.38,11.54,10.83,7.0,16.38,12.04,13.67,13.79,12.87,11.75,20.25,0.0
3,62.0,11.0,10.0,11.25,6.79,22.71,9.5,10.67,10.71,16.25,11.42,11.92,11.87,10.34,0.0
4,66.0,8.0,22.0,9.83,6.46,18.41,4.92,6.96,4.38,6.58,3.79,5.75,6.71,10.67,1.0
5,70.0,8.0,4.0,2.67,7.92,9.42,1.75,3.96,1.54,2.25,2.04,3.79,3.5,6.0,1.0
6,77.0,5.0,23.0,12.29,6.63,16.46,4.29,6.08,8.08,9.04,2.92,6.58,3.67,10.41,1.0
7,72.0,5.0,16.0,8.58,4.33,7.21,3.04,5.29,2.0,4.21,3.79,3.83,2.75,11.71,1.0
8,63.0,2.0,22.0,4.08,5.58,2.71,1.38,7.33,3.17,5.5,4.42,2.29,4.04,7.33,1.0
9,68.0,4.0,10.0,7.54,8.79,5.75,3.17,6.92,3.17,4.83,4.79,3.0,6.75,8.92,1.0
10,63.0,11.0,27.0,8.79,10.88,9.08,4.96,9.92,7.17,5.91,10.04,7.0,9.13,18.91,0.0
11,69.0,7.0,7.0,17.88,10.25,12.67,9.0,14.42,9.87,12.21,7.75,12.04,10.71,14.17,0.0
12,62.0,9.0,10.0,9.59,10.63,11.87,4.88,8.63,7.0,9.59,3.13,4.46,4.63,8.42,1.0
13,67.0,10.0,28.0,16.88,15.71,10.96,8.79,11.08,6.42,11.79,7.54,8.25,8.75,15.87,0.0
14,65.0,9.0,7.0,6.96,4.58,5.0,2.88,3.54,2.29,5.33,4.46,3.5,4.12,7.67,1.0
15,63.0,10.0,22.0,12.92,12.29,10.63,6.5,10.37,9.0,9.79,7.21,5.58,7.41,11.71,1.0
16,66.0,2.0,21.0,10.08,7.58,12.42,5.79,9.38,5.71,8.71,7.87,5.79,8.96,8.12,1.0
17,69.0,1.0,23.0,11.67,17.08,10.83,6.71,13.25,7.38,3.42,10.67,8.12,8.25,17.41,0.0
18,67.0,7.0,5.0,5.96,8.04,8.33,5.37,7.83,5.0,5.83,10.46,5.09,7.12,17.96,1.0
19,68.0,2.0,26.0,11.08,6.04,14.09,3.71,6.29,1.17,4.83,4.83,5.0,7.04,7.17,1.0
20,70.0,6.0,18.0,6.87,3.71,4.75,1.83,6.87,4.29,2.0,4.96,1.96,2.46,8.21,1.0
21,67.0,3.0,1.0,14.67,17.16,13.29,12.33,19.08,12.92,20.88,16.04,16.62,16.38,24.41,0.0
22,76.0,6.0,25.0,6.0,11.04,5.46,3.46,8.46,6.17,7.0,5.33,7.12,5.21,7.79,1.0
23,75.0,12.0,26.0,8.38,5.29,6.96,4.29,7.04,4.0,11.38,5.91,10.17,7.25,14.21,0.0
24,65.0,11.0,15.0,23.54,22.0,17.92,7.71,17.41,9.62,11.34,11.67,8.83,7.87,14.42,1.0
